dataset,reduction,reduction_method,n_components,kernel,train_acc,test_acc,train_err,test_err,svc_train_time,reduction_time,total_train_time,C,gamma,degree
MNIST,PCA-200,PCA,200,rbf,0.998,0.9754,0.002,0.0246,34.82,0.51,35.33,10.0,scale,
MNIST,PCA-200,PCA,200,rbf,1.0,0.9229,0.0,0.0771,442.97,0.51,443.48,10.0,0.01,
MNIST,PCA-200,PCA,200,rbf,0.9999,0.9638,0.0001,0.0362,982.85,0.51,983.36,10.0,0.005,
MNIST,PCA-200,PCA,200,rbf,0.9948,0.9751,0.0052,0.0249,31.27,0.51,31.78,10.0,0.001,
MNIST,PCA-200,PCA,200,rbf,0.9998,0.9754,0.0002,0.0246,35.0,0.51,35.51,50.0,scale,
MNIST,PCA-200,PCA,200,rbf,1.0,0.9229,0.0,0.0771,295.44,0.51,295.95,50.0,0.01,
MNIST,PCA-200,PCA,200,rbf,1.0,0.964,0.0,0.036,92.71,0.51,93.22,50.0,0.005,
MNIST,PCA-200,PCA,200,rbf,0.9991,0.9766,0.0009,0.0234,29.02,0.51,29.53,50.0,0.001,
MNIST,LDA-9,LDA,9,rbf,0.912,0.9067,0.088,0.0933,9.03,3.83,12.86,0.1,scale,
MNIST,LDA-9,LDA,9,rbf,0.8997,0.8954,0.1003,0.1046,11.98,3.83,15.81,0.1,0.01,
MNIST,LDA-9,LDA,9,rbf,0.8944,0.892,0.1056,0.108,13.16,3.83,16.99,0.1,0.005,
MNIST,LDA-9,LDA,9,rbf,0.8866,0.8848,0.1134,0.1152,23.76,3.83,27.59,0.1,0.001,
MNIST,LDA-9,LDA,9,rbf,0.926,0.9215,0.074,0.0785,6.2,3.83,10.03,1.0,scale,
MNIST,LDA-9,LDA,9,rbf,0.9117,0.9055,0.0883,0.0945,7.56,3.83,11.39,1.0,0.01,
MNIST,LDA-9,LDA,9,rbf,0.904,0.8993,0.096,0.1007,8.41,3.83,12.25,1.0,0.005,
MNIST,LDA-9,LDA,9,rbf,0.8961,0.8915,0.1039,0.1085,11.03,3.83,14.86,1.0,0.001,
MNIST,LDA-9,LDA,9,rbf,0.9361,0.9248,0.0639,0.0752,6.16,3.83,9.99,5.0,scale,
MNIST,LDA-9,LDA,9,rbf,0.9193,0.9125,0.0807,0.0875,6.43,3.83,10.26,5.0,0.01,
MNIST,LDA-9,LDA,9,rbf,0.9132,0.9057,0.0868,0.0943,6.98,3.83,10.81,5.0,0.005,
MNIST,LDA-9,LDA,9,rbf,0.8993,0.8946,0.1007,0.1054,9.42,3.83,13.25,5.0,0.001,
MNIST,LDA-9,LDA,9,rbf,0.9411,0.9261,0.0589,0.0739,6.0,3.83,9.83,10.0,scale,
MNIST,LDA-9,LDA,9,rbf,0.922,0.9153,0.078,0.0847,6.56,3.83,10.39,10.0,0.01,
MNIST,LDA-9,LDA,9,rbf,0.9159,0.9092,0.0841,0.0908,6.66,3.83,10.49,10.0,0.005,
MNIST,LDA-9,LDA,9,rbf,0.901,0.8966,0.099,0.1034,8.14,3.83,11.97,10.0,0.001,
MNIST,LDA-9,LDA,9,rbf,0.9532,0.9249,0.0468,0.0751,8.0,3.83,11.83,50.0,scale,
MNIST,LDA-9,LDA,9,rbf,0.928,0.9225,0.072,0.0775,7.28,3.83,11.11,50.0,0.01,
MNIST,LDA-9,LDA,9,rbf,0.9221,0.9162,0.0779,0.0838,7.08,3.83,10.91,50.0,0.005,
MNIST,LDA-9,LDA,9,rbf,0.9083,0.9026,0.0917,0.0974,7.91,3.83,11.74,50.0,0.001,
MNIST,PCA-50,PCA,50,poly,0.9517,0.9466,0.0483,0.0534,28.62,0.42,29.03,0.1,scale,2.0
MNIST,PCA-50,PCA,50,poly,0.9375,0.9326,0.0625,0.0674,41.85,0.42,42.26,0.1,scale,3.0
MNIST,PCA-50,PCA,50,poly,0.8513,0.8454,0.1487,0.1546,59.98,0.42,60.4,0.1,scale,4.0
MNIST,PCA-50,PCA,50,poly,0.9806,0.9687,0.0194,0.0313,9.16,0.42,9.57,0.1,0.01,2.0
MNIST,PCA-50,PCA,50,poly,0.992,0.9724,0.008,0.0276,8.52,0.42,8.93,0.1,0.01,3.0
MNIST,PCA-50,PCA,50,poly,0.9957,0.9645,0.0043,0.0355,11.02,0.42,11.44,0.1,0.01,4.0
MNIST,PCA-50,PCA,50,poly,0.9682,0.9609,0.0318,0.0391,13.87,0.42,14.28,0.1,0.005,2.0
MNIST,PCA-50,PCA,50,poly,0.9755,0.9644,0.0245,0.0356,15.54,0.42,15.96,0.1,0.005,3.0
MNIST,PCA-50,PCA,50,poly,0.969,0.9505,0.031,0.0495,21.98,0.42,22.4,0.1,0.005,4.0
MNIST,PCA-50,PCA,50,poly,0.897,0.8978,0.103,0.1022,56.37,0.42,56.79,0.1,0.001,2.0
MNIST,PCA-50,PCA,50,poly,0.6959,0.6962,0.3041,0.3038,95.49,0.42,95.91,0.1,0.001,3.0
MNIST,PCA-50,PCA,50,poly,0.2888,0.2811,0.7111,0.7189,117.42,0.42,117.83,0.1,0.001,4.0
MNIST,PCA-50,PCA,50,poly,0.9778,0.9669,0.0222,0.0331,10.64,0.42,11.06,1.0,scale,2.0
MNIST,PCA-50,PCA,50,poly,0.9783,0.9661,0.0217,0.0339,307.68,0.42,308.09,1.0,scale,3.0
MNIST,PCA-50,PCA,50,poly,0.9599,0.9412,0.0401,0.0588,198.34,0.42,198.76,1.0,scale,4.0
MNIST,PCA-50,PCA,50,poly,0.9931,0.9712,0.0069,0.0288,352.05,0.42,352.46,1.0,0.01,2.0
MNIST,PCA-50,PCA,50,poly,0.9987,0.9722,0.0013,0.0278,6.85,0.42,7.26,1.0,0.01,3.0
MNIST,PCA-50,PCA,50,poly,0.9996,0.9633,0.0004,0.0367,9.61,0.42,10.02,1.0,0.01,4.0
MNIST,PCA-50,PCA,50,poly,0.9861,0.9723,0.0139,0.0277,6.97,0.42,7.38,1.0,0.005,2.0
MNIST,PCA-50,PCA,50,poly,0.9932,0.9726,0.0068,0.0274,8.17,0.42,8.58,1.0,0.005,3.0
MNIST,PCA-50,PCA,50,poly,0.9937,0.9648,0.0063,0.0352,11.75,0.42,12.16,1.0,0.005,4.0
MNIST,PCA-50,PCA,50,poly,0.9576,0.9532,0.0424,0.0468,19.81,0.42,20.22,1.0,0.001,2.0
MNIST,PCA-50,PCA,50,poly,0.9188,0.9159,0.0812,0.0841,44.28,0.42,44.7,1.0,0.001,3.0
MNIST,PCA-50,PCA,50,poly,0.7186,0.7181,0.2814,0.2819,90.31,0.42,90.72,1.0,0.001,4.0
MNIST,PCA-50,PCA,50,poly,0.988,0.9729,0.012,0.0271,8.0,0.42,8.42,5.0,scale,2.0
MNIST,PCA-50,PCA,50,poly,0.9909,0.9722,0.0091,0.0278,10.67,0.42,11.09,5.0,scale,3.0
MNIST,PCA-50,PCA,50,poly,0.9858,0.9604,0.0142,0.0396,18.28,0.42,18.7,5.0,scale,4.0
MNIST,PCA-50,PCA,50,poly,0.998,0.9683,0.002,0.0317,6.95,0.42,7.37,5.0,0.01,2.0
MNIST,PCA-50,PCA,50,poly,0.9998,0.9696,0.0002,0.0304,8.17,0.42,8.58,5.0,0.01,3.0
MNIST,PCA-50,PCA,50,poly,1.0,0.9623,0.0,0.0377,11.74,0.42,12.15,5.0,0.01,4.0
MNIST,PCA-50,PCA,50,poly,0.994,0.9705,0.006,0.0295,7.23,0.42,7.65,5.0,0.005,2.0
MNIST,PCA-50,PCA,50,poly,0.9979,0.9717,0.0021,0.0283,8.83,0.42,9.25,5.0,0.005,3.0
MNIST,PCA-50,PCA,50,poly,0.9985,0.9642,0.0015,0.0358,12.08,0.42,12.5,5.0,0.005,4.0
MNIST,PCA-50,PCA,50,poly,0.9753,0.9654,0.0247,0.0346,13.68,0.42,14.1,5.0,0.001,2.0
MNIST,PCA-50,PCA,50,poly,0.964,0.9542,0.036,0.0458,28.48,0.42,28.9,5.0,0.001,3.0
MNIST,PCA-50,PCA,50,poly,0.8648,0.8587,0.1352,0.1413,70.58,0.42,70.99,5.0,0.001,4.0
MNIST,PCA-50,PCA,50,poly,0.9915,0.9719,0.0085,0.0281,8.07,0.42,8.49,10.0,scale,2.0
MNIST,PCA-50,PCA,50,poly,0.9942,0.9731,0.0058,0.0269,10.32,0.42,10.73,10.0,scale,3.0
MNIST,PCA-50,PCA,50,poly,0.9911,0.9633,0.0089,0.0367,16.51,0.42,16.93,10.0,scale,4.0
MNIST,PCA-50,PCA,50,poly,0.9989,0.9689,0.0011,0.0311,7.3,0.42,7.72,10.0,0.01,2.0
MNIST,PCA-50,PCA,50,poly,0.9999,0.9685,0.0001,0.0315,8.76,0.42,9.18,10.0,0.01,3.0
MNIST,PCA-50,PCA,50,poly,1.0,0.9623,0.0,0.0377,12.27,0.42,12.69,10.0,0.01,4.0
MNIST,PCA-50,PCA,50,poly,0.9963,0.9693,0.0037,0.0307,7.72,0.42,8.14,10.0,0.005,2.0
MNIST,PCA-50,PCA,50,poly,0.999,0.9719,0.001,0.0281,9.13,0.42,9.55,10.0,0.005,3.0
MNIST,PCA-50,PCA,50,poly,0.9994,0.9646,0.0006,0.0354,12.75,0.42,13.17,10.0,0.005,4.0
MNIST,PCA-50,PCA,50,poly,0.9806,0.9687,0.0194,0.0313,11.49,0.42,11.91,10.0,0.001,2.0
