dataset,reduction,reduction_method,n_components,kernel,train_acc,test_acc,train_err,test_err,svc_train_time,reduction_time,total_train_time,C,gamma,degree
Fashion-MNIST,PCA-50,PCA,50,poly,0.8547,0.8398,0.1453,0.1602,19.0,0.5,19.5,1.0,0.001,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8129,0.7923,0.1871,0.2077,30.15,0.5,30.65,1.0,0.001,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8992,0.871,0.1008,0.129,11.75,0.5,12.25,5.0,scale,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9127,0.8753,0.0873,0.1247,12.48,0.5,12.98,5.0,scale,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9133,0.8677,0.0867,0.1323,15.2,0.5,15.7,5.0,scale,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9319,0.8766,0.0681,0.1234,24.45,0.5,24.95,5.0,0.01,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9867,0.871,0.0133,0.129,45.02,0.5,45.52,5.0,0.01,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9997,0.8629,0.0003,0.1371,32.92,0.5,33.42,5.0,0.01,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9206,0.8784,0.0794,0.1216,14.77,0.5,15.26,5.0,0.005,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9628,0.8823,0.0372,0.1177,20.36,0.5,20.86,5.0,0.005,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9868,0.8711,0.0132,0.1289,23.09,0.5,23.58,5.0,0.005,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.889,0.8655,0.111,0.1345,12.55,0.5,13.05,5.0,0.001,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8904,0.8629,0.1096,0.1371,13.85,0.5,14.35,5.0,0.001,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8694,0.8393,0.1306,0.1607,20.08,0.5,20.57,5.0,0.001,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9056,0.8741,0.0944,0.1259,11.97,0.5,12.47,10.0,scale,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9238,0.8777,0.0762,0.1223,12.51,0.5,13.01,10.0,scale,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9263,0.8735,0.0737,0.1265,14.47,0.5,14.97,10.0,scale,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.937,0.8755,0.063,0.1245,36.83,0.5,37.33,10.0,0.01,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9926,0.8676,0.0074,0.1324,60.59,0.5,61.09,10.0,0.01,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9999,0.862,0.0001,0.138,32.79,0.5,33.29,10.0,0.01,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9265,0.8789,0.0735,0.1211,17.83,0.5,18.33,10.0,0.005,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9722,0.8784,0.0278,0.1216,25.99,0.5,26.49,10.0,0.005,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9925,0.8647,0.0075,0.1353,26.59,0.5,27.09,10.0,0.005,4.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.897,0.87,0.103,0.13,11.95,0.5,12.45,10.0,0.001,2.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.9013,0.8703,0.0987,0.1297,12.86,0.5,13.36,10.0,0.001,3.0
Fashion-MNIST,PCA-50,PCA,50,poly,0.8893,0.8542,0.1107,0.1458,17.49,0.5,17.99,10.0,0.001,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.8472,0.8342,0.1528,0.1658,34.92,0.5,35.42,0.1,scale,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.8347,0.8184,0.1653,0.1816,39.03,0.5,39.53,0.1,scale,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.7912,0.7689,0.2088,0.2311,54.3,0.5,54.8,0.1,scale,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9171,0.8813,0.0829,0.1187,16.55,0.5,17.05,0.1,0.01,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9633,0.8926,0.0367,0.1074,18.13,0.5,18.63,0.1,0.01,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9923,0.8783,0.0077,0.1217,21.75,0.5,22.25,0.1,0.01,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.8971,0.873,0.1029,0.127,19.03,0.5,19.53,0.1,0.005,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9263,0.8812,0.0737,0.1188,17.97,0.5,18.48,0.1,0.005,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9506,0.8793,0.0494,0.1207,19.73,0.5,20.23,0.1,0.005,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.8238,0.8129,0.1762,0.1871,43.53,0.5,44.03,0.1,0.001,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.7837,0.7698,0.2163,0.2302,55.4,0.5,55.9,0.1,0.001,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.697,0.6863,0.303,0.3137,83.53,0.5,84.03,0.1,0.001,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.8951,0.8711,0.1049,0.1289,19.03,0.5,19.53,1.0,scale,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.8992,0.8687,0.1008,0.1313,20.61,0.5,21.11,1.0,scale,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.8875,0.8513,0.1125,0.1487,27.99,0.5,28.49,1.0,scale,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9469,0.8864,0.0531,0.1136,17.88,0.5,18.38,1.0,0.01,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9928,0.8805,0.0072,0.1195,24.73,0.5,25.23,1.0,0.01,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9998,0.875,0.0002,0.125,22.73,0.5,23.23,1.0,0.01,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.929,0.8865,0.071,0.1135,18.75,0.5,19.25,1.0,0.005,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9666,0.8926,0.0334,0.1074,18.74,0.5,19.24,1.0,0.005,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.988,0.8799,0.012,0.1201,20.66,0.5,21.17,1.0,0.005,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.8831,0.8619,0.1169,0.1381,21.98,0.5,22.48,1.0,0.001,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.871,0.8515,0.129,0.1485,26.8,0.5,27.3,1.0,0.001,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.8301,0.8051,0.1699,0.1949,41.52,0.5,42.02,1.0,0.001,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9177,0.8819,0.0823,0.1181,16.02,0.5,16.52,5.0,scale,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9303,0.8816,0.0697,0.1184,17.18,0.5,17.68,5.0,scale,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9295,0.876,0.0705,0.124,21.43,0.5,21.93,5.0,scale,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9661,0.8816,0.0339,0.1184,26.43,0.5,26.93,5.0,0.01,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9994,0.8761,0.0006,0.1239,27.19,0.5,27.69,5.0,0.01,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,1.0,0.8751,0.0,0.1249,22.22,0.5,22.73,5.0,0.01,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9496,0.8875,0.0504,0.1125,18.68,0.5,19.18,5.0,0.005,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9884,0.8858,0.0116,0.1142,21.64,0.5,22.14,5.0,0.005,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9983,0.8765,0.0017,0.1235,22.2,0.5,22.7,5.0,0.005,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9084,0.8791,0.0916,0.1209,16.84,0.5,17.34,5.0,0.001,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9086,0.8757,0.0914,0.1243,19.27,0.5,19.77,5.0,0.001,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.8906,0.852,0.1094,0.148,27.47,0.5,27.97,5.0,0.001,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9271,0.8853,0.0729,0.1147,15.74,0.5,16.24,10.0,scale,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9436,0.8881,0.0564,0.1119,16.73,0.5,17.23,10.0,scale,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9448,0.8787,0.0552,0.1213,20.23,0.5,20.73,10.0,scale,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9732,0.8797,0.0268,0.1203,34.25,0.5,34.75,10.0,0.01,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9999,0.876,0.0001,0.124,27.27,0.5,27.77,10.0,0.01,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,1.0,0.8744,0.0,0.1256,22.2,0.5,22.7,10.0,0.01,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9578,0.886,0.0422,0.114,22.07,0.5,22.57,10.0,0.005,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9943,0.88,0.0057,0.12,24.6,0.5,25.1,10.0,0.005,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9995,0.8745,0.0005,0.1255,23.0,0.5,23.5,10.0,0.005,4.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9171,0.8813,0.0829,0.1187,16.52,0.5,17.02,10.0,0.001,2.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9224,0.879,0.0776,0.121,18.22,0.5,18.72,10.0,0.001,3.0
Fashion-MNIST,PCA-100,PCA,100,poly,0.9099,0.865,0.0901,0.135,24.87,0.5,25.37,10.0,0.001,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.8535,0.8388,0.1465,0.1612,83.34,0.56,83.89,0.1,scale,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.8371,0.8172,0.1629,0.1828,95.71,0.56,96.27,0.1,scale,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.7883,0.7626,0.2117,0.2374,128.53,0.56,129.08,0.1,scale,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9357,0.8902,0.0643,0.1098,35.28,0.56,35.84,0.1,0.01,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9834,0.8943,0.0166,0.1057,37.0,0.56,37.56,0.1,0.01,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9988,0.8857,0.0012,0.1143,42.73,0.56,43.29,0.1,0.01,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9115,0.8823,0.0885,0.1177,41.58,0.56,42.14,0.1,0.005,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9441,0.888,0.0559,0.112,38.76,0.56,39.32,0.1,0.005,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9704,0.8857,0.0296,0.1143,44.57,0.56,45.12,0.1,0.005,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.8321,0.8203,0.1679,0.1797,99.54,0.56,100.1,0.1,0.001,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.791,0.7753,0.209,0.2247,126.13,0.56,126.69,0.1,0.001,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.7052,0.6921,0.2948,0.3079,195.97,0.56,196.52,0.1,0.001,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9061,0.8783,0.0939,0.1217,45.45,0.56,46.01,1.0,scale,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9093,0.8752,0.0907,0.1248,51.28,0.56,51.84,1.0,scale,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.8943,0.8533,0.1057,0.1467,70.48,0.56,71.03,1.0,scale,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9721,0.8897,0.0279,0.1103,37.37,0.56,37.93,1.0,0.01,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9995,0.8853,0.0005,0.1147,38.72,0.56,39.28,1.0,0.01,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,1.0,0.8825,0.0,0.1175,42.53,0.56,43.09,1.0,0.01,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9505,0.8921,0.0495,0.1079,34.02,0.56,34.58,1.0,0.005,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9863,0.8933,0.0137,0.1067,37.03,0.56,37.59,1.0,0.005,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9973,0.886,0.0027,0.114,42.69,0.56,43.25,1.0,0.005,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.894,0.8711,0.106,0.1289,50.81,0.56,51.37,1.0,0.001,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.8846,0.8598,0.1154,0.1402,61.06,0.56,61.62,1.0,0.001,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.8429,0.8108,0.1571,0.1892,94.05,0.56,94.61,1.0,0.001,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9345,0.8897,0.0655,0.1103,35.42,0.56,35.97,5.0,scale,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9448,0.8887,0.0552,0.1113,38.54,0.56,39.1,5.0,scale,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9418,0.8785,0.0582,0.1215,50.11,0.56,50.66,5.0,scale,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9905,0.8859,0.0095,0.1141,41.14,0.56,41.7,5.0,0.01,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,1.0,0.8837,0.0,0.1163,40.45,0.56,41.01,5.0,0.01,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,1.0,0.8826,0.0,0.1174,44.22,0.56,44.78,5.0,0.01,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9754,0.8894,0.0246,0.1106,37.74,0.56,38.3,5.0,0.005,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9987,0.8857,0.0013,0.1143,39.96,0.56,40.51,5.0,0.005,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,1.0,0.8825,0.0,0.1175,44.23,0.56,44.78,5.0,0.005,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9236,0.886,0.0764,0.114,39.47,0.56,40.02,5.0,0.001,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9245,0.8816,0.0755,0.1184,45.25,0.56,45.8,5.0,0.001,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9068,0.8604,0.0932,0.1396,65.22,0.56,65.77,5.0,0.001,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9459,0.8917,0.0541,0.1083,35.71,0.56,36.27,10.0,scale,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9595,0.8911,0.0405,0.1089,38.59,0.56,39.14,10.0,scale,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9588,0.8834,0.0412,0.1166,48.16,0.56,48.72,10.0,scale,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9959,0.8832,0.0041,0.1168,45.35,0.56,45.9,10.0,0.01,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,1.0,0.8837,0.0,0.1163,40.64,0.56,41.2,10.0,0.01,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,1.0,0.8826,0.0,0.1174,44.29,0.56,44.85,10.0,0.01,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.984,0.887,0.016,0.113,40.19,0.56,40.75,10.0,0.005,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9997,0.8858,0.0003,0.1142,40.27,0.56,40.83,10.0,0.005,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,1.0,0.8826,0.0,0.1174,44.51,0.56,45.06,10.0,0.005,4.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9357,0.8902,0.0643,0.1098,36.66,0.56,37.22,10.0,0.001,2.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9393,0.8873,0.0607,0.1127,41.34,0.56,41.89,10.0,0.001,3.0
Fashion-MNIST,PCA-200,PCA,200,poly,0.9266,0.8723,0.0734,0.1277,56.8,0.56,57.36,10.0,0.001,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8367,0.819,0.1633,0.181,12.95,4.53,17.48,0.1,scale,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8261,0.8054,0.1739,0.1946,15.21,4.53,19.74,0.1,scale,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.7833,0.7684,0.2167,0.2316,20.83,4.53,25.36,0.1,scale,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8214,0.8016,0.1786,0.1984,21.22,4.53,25.75,0.1,0.01,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.7508,0.7413,0.2492,0.2587,32.26,4.53,36.79,0.1,0.01,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.6167,0.6101,0.3833,0.3899,47.56,4.53,52.09,0.1,0.01,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.7941,0.7778,0.2059,0.2222,33.34,4.53,37.87,0.1,0.005,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.6092,0.6024,0.3908,0.3976,56.1,4.53,60.62,0.1,0.005,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.3422,0.3384,0.6578,0.6616,75.85,4.53,80.38,0.1,0.005,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.5144,0.508,0.4856,0.492,85.53,4.53,90.06,0.1,0.001,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.2135,0.2072,0.7865,0.7928,99.11,4.53,103.64,0.1,0.001,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.1391,0.1364,0.8609,0.8636,97.84,4.53,102.36,0.1,0.001,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8441,0.8255,0.1559,0.1745,9.64,4.53,14.17,1.0,scale,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8447,0.8249,0.1553,0.1751,10.41,4.53,14.93,1.0,scale,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8294,0.807,0.1706,0.193,13.84,4.53,18.37,1.0,scale,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8393,0.8204,0.1607,0.1796,12.02,4.53,16.55,1.0,0.01,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8163,0.7998,0.1837,0.2002,17.49,4.53,22.02,1.0,0.01,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.7376,0.7259,0.2624,0.2741,28.35,4.53,32.88,1.0,0.01,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.831,0.812,0.169,0.188,16.32,4.53,20.84,1.0,0.005,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.7593,0.7503,0.2407,0.2497,30.19,4.53,34.72,1.0,0.005,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.5762,0.5708,0.4238,0.4292,51.56,4.53,56.09,1.0,0.005,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.7598,0.7483,0.2402,0.2517,45.44,4.53,49.96,1.0,0.001,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.3227,0.3149,0.6773,0.6851,88.6,4.53,93.13,1.0,0.001,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.1391,0.1364,0.8609,0.8636,98.03,4.53,102.55,1.0,0.001,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.846,0.8289,0.154,0.1711,9.32,4.53,13.85,5.0,scale,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8493,0.8282,0.1507,0.1718,9.7,4.53,14.22,5.0,scale,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8395,0.8142,0.1605,0.1858,12.11,4.53,16.64,5.0,scale,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8434,0.8244,0.1566,0.1756,9.81,4.53,14.34,5.0,0.01,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8378,0.8176,0.1622,0.1824,12.23,4.53,16.76,5.0,0.01,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.7875,0.7726,0.2125,0.2274,20.18,4.53,24.71,5.0,0.01,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8396,0.8216,0.1604,0.1784,11.61,4.53,16.13,5.0,0.005,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8071,0.7915,0.1929,0.2085,19.54,4.53,24.07,5.0,0.005,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.6873,0.6792,0.3127,0.3208,36.54,4.53,41.07,5.0,0.005,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8102,0.7912,0.1898,0.2088,26.44,4.53,30.97,5.0,0.001,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.4737,0.467,0.5263,0.533,69.59,4.53,74.12,5.0,0.001,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.1841,0.1824,0.8159,0.8176,96.61,4.53,101.14,5.0,0.001,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8466,0.8285,0.1534,0.1715,9.89,4.53,14.42,10.0,scale,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8517,0.8303,0.1483,0.1697,10.07,4.53,14.6,10.0,scale,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8432,0.8157,0.1568,0.1843,12.14,4.53,16.66,10.0,scale,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8446,0.8268,0.1554,0.1732,9.38,4.53,13.9,10.0,0.01,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8432,0.8221,0.1568,0.1779,11.04,4.53,15.56,10.0,0.01,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.805,0.7843,0.195,0.2157,17.77,4.53,22.3,10.0,0.01,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.842,0.8238,0.158,0.1762,10.43,4.53,14.96,10.0,0.005,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8206,0.8023,0.1794,0.1977,16.51,4.53,21.03,10.0,0.005,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.7198,0.7095,0.2802,0.2905,31.49,4.53,36.02,10.0,0.005,4.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.8214,0.8016,0.1786,0.1984,21.15,4.53,25.68,10.0,0.001,2.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.5839,0.5774,0.4161,0.4226,59.7,4.53,64.23,10.0,0.001,3.0
Fashion-MNIST,LDA-9,LDA,9,poly,0.2255,0.2224,0.7745,0.7776,92.46,4.53,96.98,10.0,0.001,4.0
